name,"	master",debut,"	destructive",speed,"	range","	persistence","	precision","	development","	type","	ability","	image","	battleCry","	namesake"
Star Platinum,Jotaro Kujo,3,A,A,C,A,A,A,Close-Range Stand,Super strength; super speed; super precision; super eyesight; the ability to extend its middle and index finger for up to 2 meters; the ability to stop time for up to 5 seconds (The World),StarPlatinum.png,StarPlatinum.mp3,The Star (tarot card)
Magician's Red,Muhammad Avdol,3,B,B,C,B,C,D,Close-Range Stand,Moderate super-strenght; the ability to fully control fire.,MagiciansRed.png,,The Magician (tarot card)
Hermit Purple,Old Joseph Joestar,3,D,C,D,A,D,E,Close-Range Stand,Vines that can be used as rope and can transmit Hamon; the ability to produce psychic information through a machine like a camera or a TV.,HermitPurple.png,,The Hermit (tarot card)
Hierophant Green,Noriaki Kakyoin,3,C,B,A,B,C,D,Long-Distance Stand,The ability to unravel itself into multiple long strings; the ability to control people like marionettes; the Emerald Splash: a very destructive and fast energy projectile,HierophantGreen.png,,The Hierophant (tarot card)
Silver Chariot,Jean Pierre Polnareff,3,C,A,C,B,B,C,Close-Range Stand,Super speed; super precision; the ability to remove its armor and become so fast it creates copies of itself; the ability to shoot its rapier.,SilverChariot.png,,The Chariot (tarot card)
The Fool,Iggy,3,B,C,D,C,D,C,Close-Range Stand,Shape-shifting; the ability to manifest and control sand,TheFool.png,,The Fool (tarot card)
The World,Dio Brando,3,A,A,C,A,B,B,Close-Range Stand,Super strengh; super speed; super precision; the ability to stop time for up to 11 seconds.,TheWorld.png,TheWorld.mp3,The World (tarot card)
Tower of Gray,Gray Fly,3,E,A,A,C,E,E,Long-Distance Stand,Super speed; an extendable second jaw that can penetrate through flesh,TowerOfGray.png,,The Tower (tarot card)
Dark Blue Moon,Impostor Captain Tenille,3,C,C,C,B,C,D,Close-Range Stand,Great swimming skills; scales that can be used as projectiles; the ability to attach barnacles to other Stands;the ability to create a whirpool using his feet.,DarkBlueMoon.png,,The Moon (tarot card)
Strength,Forever,3,B,D,D,A,E,E,Bound Stand,A freighter ship that the user can manipulate to its will.,Strength.png,,Strength (tarot card)
Ebony Devil,Devo the Cursed,3,D,D,A,B,D,B,Long-Distance Stand,Activated after its user is attacked. After that the user can transmit its resentment towards an innanimate object which will attack whoever damaged the user.,EbonyDevil.png,,The Devil (tarot card)
Yellow Temperance,Rubber Soul,3,D,C,E,A,E,D,Close-Range Stand,A blob that can shape-shift and absorb any organic matter it comes in contact with,YellowTemperance.png,,Temperance (tarot card)
Hanged Man,J.Geil,3,C,A,A,B,D,D,Long-Distance Stand,A Stand that travels between reflective surfaces and attacks its target from them.,HangedMan.png,,The Hanged Man (tarot card)
Emperor,Hol Horse,3,B,B,B,C,E,E,Close-Range Stand,A futuristic revolver that can control the trajectory of the unlimited bullets it fires.,Emperor.png,,The Emperor (tarot card)
Empress,Nena,3,C,E,A,A,D,D,Bound Stand,A parasite born out of the user's blood that grows until it's able to kill  the host.,Empress.png,,The Empress (tarot card)
Wheel of Fortune,ZZ,3,B,D,D,A,E,D,Bound Stand,A shape-shifting car that can shoot bullets made from gasoline.,WheelOfFortune.png,,Wheel of Fortune (tarot card)
Justice,Enya the Hag,3,D,E,A,A,E,E,Long-Distance Stand,A mist that can create illusions; the ability to control cadavers and anyone the user has injured like a puppet.,Justice.png,,Justice (tarot card)
Lovers,Steely Dan,3,E,D,A,A,D,E,Long-Distance Stand,A microscopic stand that enters the brain of a victim and manipulates his/her pain receptors; the ability to create copies of itself from the victim's brain cells.,Lovers.png,,The Lovers (tarot card)
Sun,Arabian Fats,3,B,E,A,A,E,E,Long-Distance Stand,A big ball of fire that can shoot lasers and produce enough light and heat that makes the surrounding area seem like its midday.,Sun.png,,The Sun (tarot card)
DEATH 13,Mannish Boy,3,C,C,E,B,B,D,Close-Range Stand,A Stand that attacks its victims on their sleep and kills them inside their dreams.,Death13.png,,Death (tarot card)
Judgement,Cameo,3,B,B,C,B,D,D,Automatic Stand,The ability to create clay constructs out of a person's wishes.,Judgement.png,,Judgement (tarot card)
High Priestess,Middler,3,C,B,A,A,D,D,Long-Distance Stand,The ability to shape-shft into any mineral.,HighPriestess.png,,The High Priestess (tarot card)
Geb,N'Doul,3,C,B,A,B,D,D,Long-Distance Stand,The ability to attack its victims with water at kilometrical ranges.,Geb.png,,Geb (Egyptian god)
Khnum,Oingo,3,E,E,E,A,E,E,Integrated Stand,The ability to shape-shift its user's into anyone.,Khnum.png,,Khnum (Egyptian god)
Tohth,Boingo,3,E,E,E,A,E,E,Bound Stand,A comic book that can predict the future.,Tohth.png,,Toth (Egyptian god)
Anubis,Khan,3,B,B,E,A,E,C,Bound Stand,"A stand bound to a sword that controls the mind of whoever draws it; giving the ""user"" increased strenght and speed.",Anubis.png,,Anubis (Egyptian god)
Bastet,Mariah,3,E,E,B,A,E,E,Automatic Stand,An electrical outlet that turns whoever touched it into a magnet whose strength increases over time.,Bastet.png,,Bastet (Egyptian goddess)
Sethan,Alessi,3,D,D,E,C,D,D,Bound Stand,The ability to hide in its user's shadow; the ability to de-age anyone who steps on it.,Sethan.png,,Set (Egyptian god)
Osiris,Daniel J. D'Arby,3,E,D,D,C,D,D,Automatic Stand,The ability to steal its victim's souls when they accepted defeat; the ability to turn souls into gambling chips.,Osiris.png,,Osiris (Egyptian god)
Horus,Pet Shop,3,B,B,D,C,E,C,Close-Range Stand,The ability to generate and control ice,Horus.png,,Horus (Egyptian god)
Atum,Telence T. D'Arby,3,D,C,D,B,D,D,Close-Range Stand,Ositis's soul-stealing ability; the ability to ask a nearby soul a yes or no question.,Atum.png,,Atum (Egyptian god)
Tenore Sax,Kenny G.,3,E,E,D,A,E,E,Unknown,Tha ability to create room-scale visual illusions.,TenoreSax.png,,Tenor Sax (musical instrument)
Cream,Vanilla Ice,3,B,B,D,C,C,D,Close-Range Stand,The ability to hide its user inside itself and to hide itself into a ball of nothingness that transports whatever it touches to a void-like dimension.,Cream.png,,Cream (band)
Crazy Diamond,Josuke Higashikata,4,A,A,D,B,B,C,Close-Range Stand,Super strength; super speed; super precision; the ability to return anything it touches back to a previous state ,CrazyDiamond.png,CrazyDiamond.mp3,Shine on You Crazy Diamond (Pink Floyd song)
The Hand,Okuyasu Nijimura,4,B,B,D,C,C,C,Close-Range Stand,Super strenght; the ability to erase anything it touches with its right hand,TheHand.png,,The Band (band)
Echoes Act 0,Koichi Hirose,4,E,E,E,E,E,E,Evolved Stand,Its literally just a big egg.,Act0.png, ,Echoes (Pink Floyd song)
Echoes Act 1,Koichi Hirose,4,E,E,B,B,C,A,Long-Distance Stand,The ability to make any sound come from any object it punches.,Act1.png,,Echoes (Pink Floyd song)
Echoes Act 2,Koichi Hirose,4,C,D,B,B,C,A,Long-Distance Stand,The ability to give the properties of any onomatopeia to anything it touches.,Act2.png,,Echoes (Pink Floyd song)
Echoes Act 3,Koichi Hirose,4,B,B,C,B,C,A,Close-Range Stand,3 Freeze: the ability to increase the weight of anything it punches.,Act3.png,Act3.mp3,Echoes (Pink Floyd song)
Heaven's Door,Rohan Kishibe,4,D,B,B,B,C,A,Close-Range Stand,The ability to turn people into humanoid books with all of their life experiences written on them; the ability to write on said books anyhting and have that affect the target.,HeavensDoor.png,,Knockin' on Heaven's Door (Bob Dylan song)
Killer Queen,Yoshikage Kira,4,A,B,D,B,B,A,Close-Range Stand,Above average speed; above average strength; the ability to turn anything it touches into a bomb.,KillerQueen.png,KillerQueen.mp3,Killer Queen (Queen song)
Sheer Heart Attack,Yoshikage Kira,4,A,C,A,A,E,A,Automatic Sub-Stand,Killer Queen's second bomb: an indestructible heat-seeking mini tank that explodes whenever it touches the hottest thing near it. ,Sheer Heart Atack,SheerHeartAttack.mp3,Sheer Heart Attack (Queen song/album)
Killer Queen Bites the Dust,Yoshikage Kira,4,B,B,A,A,D,A,Evolved Stand,"Killer Queen's third bomb: a miniturized version of Killer Queen that hides inside someone who knows the user. When that person tries to reveal the user's identity Bites the Dust automatically turns whoever the user's identity was revealed to into a bomb and makes him/her explode. After that it rewinds time 1 hour with only the bomb carrier remembering what happened but whoever exploded ""before"" also exploding in the new timeline.",BitesTheDust.png,BitesTheDust.mp3,Another One Bites the Dust (Queen song)
